obec,vek_prumer,NAZOB,OB91,hustotaObyv,PROBL,MIRA_NEZAM,crimeRate,obcane_cz,liberalove_cz,VV,konzerv_strana,KSCM,koruna_ceska,CSNS,CSSD,narodni_prosperita,sdruzeni_pro_rep,moravane,SPOZ,STOP,TOP09,evropsky_stred,KDU-CSL,cibulka,CS_narod_socialisticka,zeleni,suverenita_bobo,humanisticka_str,pirati,DSSS,svobodni,ODS,klicove_hnuti
500011,42.785,Želechovice nad Dřevnicí,1980,1.2011921317110603E-4, ,6.32,0.020742145108882,2,,117,1,66,,,195,,,7,93,,267,,88,4,,12,27,,8,4,11,234,
500020,42.8294,Petrov nad Desnou,1271,9.812186802195084E-5,4,15.23,0.04432858567499599,1,,76,2,70,1,,140,,,4,25,,59,,22,,,7,22,,5,11,7,99,
500259,40.7373,Veřovice,1874,1.1884107917839712E-4,3,6.33,0.038655540925481,8,,133,,82,,,284,,,6,36,1,90,,118,,,27,24,,8,10,2,151,
500291,41.946999999999996,Vřesina,2328,3.2127875415957754E-4,3,7.43,0.051773572588862005,9,,173,1,159,,,342,,,3,61,,211,,117,3,,32,61,,5,10,3,374,
500496,41.176,Olomouc,102786,9.631725956343565E-4, ,9.41,0.04002853439701,116,,5853,36,4986,100,,11724,,,228,2453,18,9515,,2202,179,,1403,1702,,461,447,331,10393,
500526,39.2255,Bělkovice-Lašťany,1819,1.4022804675994108E-4, ,11.97,0.043020573681730005,1,,159,1,105,2,,207,,,13,42,1,165,,20,,,10,82,,3,10,8,180,
500623,42.0907,Bílá Lhota,1119,6.158528884022375E-5, ,10.15,0.040708249830071,1,,70,,116,1,,143,,,12,28,1,51,,34,3,,12,23,,6,18,3,62,
500801,40.4346,Blatec,569,9.446049918577177E-5, ,11.76,0.040967026791317,,,64,,56,1,,59,,,6,14,1,31,,20,2,,7,20,,5,6,2,50,
500852,39.9526,Bohuňovice,2199,2.0361322808332263E-4, ,8.6,0.041905185486098,1,,143,1,145,2,,266,,,14,55,1,232,,76,6,,32,84,,16,16,12,278,
500861,41.6182,Bouzov,1474,3.623072034683931E-5, ,9.59,0.044166514603682004,2,,89,2,156,,,202,,,19,31,1,121,,66,6,,27,21,,8,4,4,85,
500879,39.4864,Bystročice,606,9.310615099671009E-5, ,14.43,0.043082242666304,,,43,,47,,,87,,,5,15,,41,,10,1,,2,38,,2,1,1,81,
501476,40.3523,Dlouhá Loučka,1862,7.287806803887411E-5, ,14.94,0.03911498470809299,2,,118,1,147,,,241,,,8,32,,92,,26,7,,10,25,,5,12,4,127,
501646,38.8963,Dolany,1802,1.0796316259866576E-4, ,11.21,0.042330701484915,3,,124,,126,7,,270,,,14,71,,293,,59,6,,22,50,,12,7,8,258,
501751,41.6705,Drahanovice,1604,1.248326233986003E-4, ,10.53,0.045280099346181,1,,89,,153,,,245,,,5,57,,81,,51,3,,12,30,,15,6,10,108,
501794,40.1406,Dub nad Moravou,1318,1.0307311507830997E-4, ,13.28,0.039407116944749,2,,105,1,105,1,,179,,,6,33,,83,,85,2,,15,67,,5,11,3,102,
501841,41.1265,Grygov,1447,1.1539640354688295E-4, ,8.78,0.040305787251308,3,,72,2,103,1,,193,,,2,47,,67,,161,10,,6,27,,15,11,4,116,
502146,41.9825,Hlubočky,4660,1.9450249300131551E-4, ,7.59,0.042257214982113,8,,278,2,365,6,,510,,,19,105,,228,,66,16,,49,93,,15,23,10,291,
502235,37.9216,Hněvotín,1044,1.3686439492805282E-4, ,9.76,0.043304867897988,,,99,,77,,,166,,,7,38,,114,,18,,,8,28,,11,2,8,137,
502405,39.3977,Hnojice,558,6.213581224755401E-5, ,16.79,0.041537080419063996,1,,48,,19,1,,63,,,3,18,,41,,24,,,3,16,,4,2,7,51,
502545,40.7482,Horka nad Moravou,2054,1.9441578559012981E-4, ,11.02,0.04176636865672,2,,166,1,137,5,,311,,,10,53,,179,,51,12,,30,66,,7,7,31,207,
502839,40.7167,Cholina,660,8.220413879484728E-5, ,12.42,0.04216305306663,,,36,,63,,,94,,,5,19,,31,,41,8,,9,12,,5,2,5,39,
503142,39.4412,Jívová,532,3.711129855783523E-5, ,19.72,0.043237967478158,,,49,,58,,,57,,,3,15,,35,,8,,,5,17,,1,4,3,35,
503304,40.7887,Kožušany-Tážaly,773,1.3587903448696015E-4, ,9.88,0.041059647879609,2,,46,,68,1,,108,,,2,9,1,46,,41,7,,11,18,,6,2,2,83,
503410,46.8353,Žitovlice,209,2.688002624219511E-5, ,4.88,0.047147182349905996,,,5,,16,,,33,,,,3,,9,,3,,,,6,,,,1,18,
503444,41.4116,Litovel,10184,2.138223002412953E-4, ,8.31,0.052716460034270995,5,,773,8,664,11,,1426,,,48,254,2,462,,293,19,,79,156,,38,40,20,749,
503622,43.6063,Luká,809,5.417231607336414E-5, ,11.29,0.041960950879595,1,,37,,98,1,,127,,,11,22,1,48,,49,,,4,19,,5,6,12,32,
503657,39.8966,Lutín,3331,3.9148739851929736E-4, ,8.63,0.072874493927126,5,,193,,202,1,,443,,,9,106,,201,,67,6,,34,70,,15,21,10,190,
503738,39.3073,Majetín,962,1.2084352994477407E-4, ,9.72,0.039072091258152995,4,,56,,109,1,,139,,,9,23,,57,,40,1,,7,18,,7,6,3,74,
503916,38.0876,Kostelec,474,1.6064256507829494E-5,4,19.44,0.040410501263776,,,16,,84,,,47,,,,7,,23,,,,,,5,,,1,2,28,
503941,35.5209,Libavá,912,3.2636829571832785E-6, ,13.2,0.042069306386683,,,51,,103,,,122,,,2,23,,30,,7,5,,8,18,,6,9,,25,
504246,42.4128,Mladeč,859,6.291949959848407E-5, ,11.04,0.041817286301532,1,,33,,58,1,,85,,,1,6,,38,,25,,,1,11,,1,,,45,
504301,39.5557,Dřenice,321,1.3509411229226825E-4, ,12.16,0.032887724874299,,,17,,25,,,52,,,,12,,19,,5,1,,5,8,,,,,26,
504441,39.7611,Náklo,1325,1.3037435328779422E-4, ,9.65,0.042985236233103,4,,86,2,135,,,175,,,6,44,1,82,,65,5,,7,27,,4,6,4,89,
504505,42.3682,Náměšť na Hané,1818,1.0658480153271946E-4, ,9.3,0.044905004351352994,2,,130,1,122,1,,248,,,7,43,1,226,,61,5,,12,37,,10,12,3,146,
504785,38.6637,Paseka,1145,5.6052078686959046E-5, ,15.41,0.038265960931240996,,,65,,76,1,,145,,,9,24,1,73,,47,,,15,26,,2,5,4,88,
504807,38.2657,Lány,223,5.5202870549268555E-5, ,7,0.033054608160354,,,22,,2,,,30,,,,16,,16,,11,1,,,12,,,,2,26,
504921,43.0735,Třibřichy,270,6.865754268150344E-5, ,10.37,0.032896176917128,,,20,,30,,,50,,,,6,1,30,,3,,,3,4,,1,,1,29,
