obec,NAZOB,crime_rate_top,mira_nezam_top,zeman_prc_top,schwarzen_prc_top,hustota_obyv_top,vek_prum_top,ČSSD,SSO,ČPS,TOP 09,HLAVU VZHŮRU,ODS,ROMSKA_STRANA,KAN,ZMĚNA,SSČR,KDU-ČSL,CIBULKA,SUVERENITA,AKTIV NEZAV OBC,SPOZ,OB2011,Úsvit,DSSS,ANO,KSČM,LEV 21,SZ,KORUNA
500011,Želechovice nad Dřevnicí,2,0,0,1,0,0,164.0,24.0,27.0,202.0,4.0,46.0,,,7.0,1.0,123.0,,2.0,,34.0,,108.0,4.0,213.0,73.0,,10.0,5.0
500020,Petrov nad Desnou,0,0,0,0,0,0,114.0,18.0,8.0,40.0,3.0,26.0,,,5.0,,33.0,,4.0,,13.0,,68.0,6.0,113.0,74.0,1.0,4.0,1.0
500046,Libhošť,0,2,0,0,1,0,206.0,6.0,17.0,31.0,4.0,56.0,,,1.0,2.0,74.0,,6.0,,19.0,,92.0,1.0,137.0,126.0,,20.0,
500259,Veřovice,0,0,0,0,0,0,236.0,18.0,22.0,55.0,3.0,35.0,,,6.0,,143.0,,2.0,,19.0,,63.0,4.0,182.0,112.0,1.0,27.0,5.0
500291,Vřesina,0,0,0,0,1,0,310.0,25.0,37.0,137.0,11.0,112.0,,,3.0,1.0,165.0,,2.0,,15.0,,82.0,9.0,333.0,204.0,,62.0,2.0
500496,Olomouc,0,0,0,0,1,0,10104.0,1194.0,1266.0,5714.0,206.0,4141.0,,,217.0,91.0,3598.0,,95.0,,672.0,,3224.0,266.0,9370.0,6086.0,14.0,1842.0,140.0
500526,Bělkovice-Lašťany,0,0,0,0,1,0,205.0,22.0,14.0,71.0,4.0,53.0,,,3.0,3.0,52.0,,5.0,,9.0,,98.0,12.0,242.0,137.0,1.0,12.0,2.0
500623,Bílá Lhota,0,0,1,0,0,0,122.0,6.0,16.0,25.0,,17.0,,,,,51.0,,2.0,,10.0,,63.0,5.0,85.0,124.0,,15.0,
500801,Blatec,0,0,0,0,0,0,47.0,5.0,5.0,25.0,1.0,9.0,,,,,21.0,,1.0,,2.0,,37.0,,85.0,50.0,,6.0,2.0
500852,Bohuňovice,0,0,0,0,1,0,229.0,20.0,27.0,130.0,17.0,84.0,,,5.0,1.0,107.0,,2.0,,24.0,,112.0,9.0,319.0,192.0,,45.0,2.0
500861,Bouzov,0,0,0,0,0,0,164.0,17.0,28.0,64.0,2.0,29.0,,,1.0,4.0,83.0,,2.0,,32.0,,61.0,3.0,105.0,182.0,,22.0,4.0
500879,Bystročice,0,0,0,0,0,0,77.0,3.0,6.0,16.0,1.0,37.0,,,1.0,1.0,11.0,,1.0,,6.0,,28.0,1.0,108.0,52.0,,8.0,1.0
501476,Dlouhá Loučka,0,0,1,0,0,0,174.0,18.0,24.0,48.0,4.0,43.0,,,1.0,3.0,36.0,,2.0,,11.0,,97.0,3.0,176.0,170.0,2.0,19.0,7.0
501646,Dolany,0,0,0,0,0,0,233.0,35.0,35.0,186.0,9.0,55.0,,,2.0,2.0,118.0,,3.0,,18.0,,89.0,11.0,276.0,181.0,1.0,31.0,5.0
